motivation,num_recipients,recipients,title,year
,1,['George Catlett Marshall'],The Nobel Peace Prize,1953
“for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith”,2,"['Felix Bloch', 'Edward Mills Purcell']",The Nobel Prize in Physics,1952
“for their invention of partition chromatography”,2,"['Archer John Porter Martin', 'Richard Laurence Millington Synge']",The Nobel Prize in Chemistry,1952
"“for his discovery of streptomycin, the first antibiotic effective against tuberculosis”",1,['Selman Abraham Waksman'],The Nobel Prize in Physiology or Medicine,1952
“for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life”,1,['François Mauriac'],The Nobel Prize in Literature,1952
,1,['Albert Schweitzer'],The Nobel Peace Prize,1952
“for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles”,2,"['Sir John Douglas Cockcroft', 'Ernest Thomas Sinton Walton']",The Nobel Prize in Physics,1951
“for their discoveries in the chemistry of the transuranium elements”,2,"['Edwin Mattison McMillan', 'Glenn Theodore Seaborg']",The Nobel Prize in Chemistry,1951
“for his discoveries concerning yellow fever and how to combat it”,1,['Max Theiler'],The Nobel Prize in Physiology or Medicine,1951
“for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind”,1,['Pär Fabian Lagerkvist'],The Nobel Prize in Literature,1951
,1,['Léon Jouhaux'],The Nobel Peace Prize,1951
“for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method”,1,['Cecil Frank Powell'],The Nobel Prize in Physics,1950
“for their discovery and development of the diene synthesis”,2,"['Otto Paul Hermann Diels', 'Kurt Alder']",The Nobel Prize in Chemistry,1950
"“for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects”",3,"['Edward Calvin Kendall', 'Tadeus Reichstein', 'Philip Showalter Hench']",The Nobel Prize in Physiology or Medicine,1950
“in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought”,1,['Earl (Bertrand Arthur William) Russell'],The Nobel Prize in Literature,1950
,1,['Ralph Bunche'],The Nobel Peace Prize,1950
“for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces”,1,['Hideki Yukawa'],The Nobel Prize in Physics,1949
"“for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures”",1,['William Francis Giauque'],The Nobel Prize in Chemistry,1949
“for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs”,2,"['Walter Rudolf Hess', 'Antonio Caetano de Abreu Freire Egas Moniz']",The Nobel Prize in Physiology or Medicine,1949
“for his powerful and artistically unique contribution to the modern American novel”,1,['William Faulkner'],The Nobel Prize in Literature,1949
,1,['Lord (John) Boyd Orr of Brechin'],The Nobel Peace Prize,1949
"“for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation”",1,['Patrick Maynard Stuart Blackett'],The Nobel Prize in Physics,1948
"“for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins”",1,['Arne Wilhelm Kaurin Tiselius'],The Nobel Prize in Chemistry,1948
“for his discovery of the high efficiency of DDT as a contact poison against several arthropods”,1,['Paul Hermann Müller'],The Nobel Prize in Physiology or Medicine,1948
"“for his outstanding, pioneer contribution to present-day poetry”",1,['Thomas Stearns Eliot'],The Nobel Prize in Literature,1948
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1948
“for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer”,1,['Sir Edward Victor Appleton'],The Nobel Prize in Physics,1947
"“for his investigations on plant products of biological importance, especially the alkaloids”",1,['Sir Robert Robinson'],The Nobel Prize in Chemistry,1947
“for their discovery of the course of the catalytic conversion of glycogen”,3,"['Carl Ferdinand Cori', 'Gerty Theresa Cori, née Radnitz', 'Bernardo Alberto Houssay']",The Nobel Prize in Physiology or Medicine,1947
"“for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight”",1,['André Paul Guillaume Gide'],The Nobel Prize in Literature,1947
,2,"['Friends Service Council (The Quakers) ', 'American Friends Service Committee (The Quakers) ']",The Nobel Peace Prize,1947
"“for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics”",1,['Percy Williams Bridgman'],The Nobel Prize in Physics,1946
“for his discovery that enzymes can be crystallized”,3,"['James Batcheller Sumner', 'John Howard Northrop', 'Wendell Meredith Stanley']",The Nobel Prize in Chemistry,1946
“for the discovery of the production of mutations by means of X-ray irradiation”,1,['Hermann Joseph Muller'],The Nobel Prize in Physiology or Medicine,1946
"“for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style”",1,['Hermann Hesse'],The Nobel Prize in Literature,1946
,2,"['Emily Greene Balch', 'John Raleigh Mott']",The Nobel Peace Prize,1946
"“for the discovery of the Exclusion Principle, also called the Pauli Principle”",1,['Wolfgang Pauli'],The Nobel Prize in Physics,1945
"“for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method”",1,['Artturi Ilmari Virtanen'],The Nobel Prize in Chemistry,1945
“for the discovery of penicillin and its curative effect in various infectious diseases”,3,"['Sir Alexander Fleming', 'Ernst Boris Chain', 'Sir Howard Walter Florey']",The Nobel Prize in Physiology or Medicine,1945
"“for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world”",1,['Gabriela Mistral'],The Nobel Prize in Literature,1945
,1,['Cordell Hull'],The Nobel Peace Prize,1945
“for his resonance method for recording the magnetic properties of atomic nuclei”,1,['Isidor Isaac Rabi'],The Nobel Prize in Physics,1944
“for his discovery of the fission of heavy nuclei”,1,['Otto Hahn'],The Nobel Prize in Chemistry,1944
“for their discoveries relating to the highly differentiated functions of single nerve fibres”,2,"['Joseph Erlanger', 'Herbert Spencer Gasser']",The Nobel Prize in Physiology or Medicine,1944
"“for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style”",1,['Johannes Vilhelm Jensen'],The Nobel Prize in Literature,1944
,1,['Comité international de la Croix Rouge (International Committee of the Red Cross) '],The Nobel Peace Prize,1944
“for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton”,1,['Otto Stern'],The Nobel Prize in Physics,1943
“for his work on the use of isotopes as tracers in the study of chemical processes”,1,['George de Hevesy'],The Nobel Prize in Chemistry,1943
“for his discovery of vitamin K”,2,"['Henrik Carl Peter Dam', 'Edward Adelbert Doisy']",The Nobel Prize in Physiology or Medicine,1943
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1943
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1943
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1942
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1942
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1942
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1942
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1942
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1941
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1941
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1941
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1941
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1941
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1940
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1940
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1940
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1940
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1940
"“for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements”",1,['Ernest Orlando Lawrence'],The Nobel Prize in Physics,1939
“for his work on sex hormones”,2,"['Adolf Friedrich Johann Butenandt', 'Leopold Ruzicka']",The Nobel Prize in Chemistry,1939
“for the discovery of the antibacterial effects of prontosil”,1,['Gerhard Domagk'],The Nobel Prize in Physiology or Medicine,1939
“for his deep understanding of his country’s peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature”,1,['Frans Eemil Sillanpää'],The Nobel Prize in Literature,1939
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1939
"“for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons”",1,['Enrico Fermi'],The Nobel Prize in Physics,1938
“for his work on carotenoids and vitamins”,1,['Richard Kuhn'],The Nobel Prize in Chemistry,1938
“for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration”,1,['Corneille Jean François Heymans'],The Nobel Prize in Physiology or Medicine,1938
“for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces”,1,['Pearl Buck'],The Nobel Prize in Literature,1938
,1,['Office international Nansen pour les Réfugiés (Nansen International Office for Refugees) '],The Nobel Peace Prize,1938
“for their experimental discovery of the diffraction of electrons by crystals”,2,"['Clinton Joseph Davisson', 'George Paget Thomson']",The Nobel Prize in Physics,1937
“for his investigations on carbohydrates and vitamin C”,2,"['Walter Norman Haworth', 'Paul Karrer']",The Nobel Prize in Chemistry,1937
"“for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid”",1,['Albert von Szent-Györgyi Nagyrápolt'],The Nobel Prize in Physiology or Medicine,1937
“for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle Les Thibault”,1,['Roger Martin du Gard'],The Nobel Prize in Literature,1937
,1,"['Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)']",The Nobel Peace Prize,1937
“for his discovery of cosmic radiation”,2,"['Victor Franz Hess', 'Carl David Anderson']",The Nobel Prize in Physics,1936
“for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases”,1,['Petrus (Peter) Josephus Wilhelmus Debye'],The Nobel Prize in Chemistry,1936
“for their discoveries relating to chemical transmission of nerve impulses”,2,"['Sir Henry Hallett Dale', 'Otto Loewi']",The Nobel Prize in Physiology or Medicine,1936
"“for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy”",1,['Eugene Gladstone O’Neill'],The Nobel Prize in Literature,1936
,1,['Carlos Saavedra Lamas'],The Nobel Peace Prize,1936
“for the discovery of the neutron”,1,['James Chadwick'],The Nobel Prize in Physics,1935
“in recognition of their synthesis of new radioactive elements”,2,"['Frédéric Joliot', 'Irène Joliot-Curie']",The Nobel Prize in Chemistry,1935
“for his discovery of the organizer effect in embryonic development”,1,['Hans Spemann'],The Nobel Prize in Physiology or Medicine,1935
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1935
,1,['Carl von Ossietzky'],The Nobel Peace Prize,1935
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1934
“for his discovery of heavy hydrogen”,1,['Harold Clayton Urey'],The Nobel Prize in Chemistry,1934
“for their discoveries concerning liver therapy in cases of anaemia”,3,"['George Hoyt Whipple', 'George Richards Minot', 'William Parry Murphy']",The Nobel Prize in Physiology or Medicine,1934
“for his bold and ingenious revival of dramatic and scenic art”,1,['Luigi Pirandello'],The Nobel Prize in Literature,1934
,1,['Arthur Henderson'],The Nobel Peace Prize,1934
“for the discovery of new productive forms of atomic theory”,2,"['Erwin Schrödinger', 'Paul Adrien Maurice Dirac']",The Nobel Prize in Physics,1933
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1933
“for his discoveries concerning the role played by the chromosome in heredity”,1,['Thomas Hunt Morgan'],The Nobel Prize in Physiology or Medicine,1933
“for the strict artistry with which he has carried on the classical Russian traditions in prose writing”,1,['Ivan Alekseyevich Bunin'],The Nobel Prize in Literature,1933
,1,['Sir Norman Angell (Ralph Lane)'],The Nobel Peace Prize,1933
"“for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen”",1,['Werner Karl Heisenberg'],The Nobel Prize in Physics,1932
“for his discoveries and investigations in surface chemistry”,1,['Irving Langmuir'],The Nobel Prize in Chemistry,1932
“for their discoveries regarding the functions of neurons”,2,"['Sir Charles Scott Sherrington', 'Edgar Douglas Adrian']",The Nobel Prize in Physiology or Medicine,1932
“for his distinguished art of narration which takes its highest form in The Forsyte Saga”,1,['John Galsworthy'],The Nobel Prize in Literature,1932
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1932
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1931
“in recognition of their contributions to the invention and development of chemical high pressure methods”,2,"['Carl Bosch', 'Friedrich Bergius']",The Nobel Prize in Chemistry,1931
“for his discovery of the nature and mode of action of the respiratory enzyme”,1,['Otto Heinrich Warburg'],The Nobel Prize in Physiology or Medicine,1931
“The poetry of Erik Axel Karlfeldt”,1,['Erik Axel Karlfeldt'],The Nobel Prize in Literature,1931
,2,"['Jane Addams', 'Nicholas Murray Butler']",The Nobel Peace Prize,1931
“for his work on the scattering of light and for the discovery of the effect named after him”,1,['Sir Chandrasekhara Venkata Raman'],The Nobel Prize in Physics,1930
“for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin”,1,['Hans Fischer'],The Nobel Prize in Chemistry,1930
“for his discovery of human blood groups”,1,['Karl Landsteiner'],The Nobel Prize in Physiology or Medicine,1930
"“for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters”",1,['Sinclair Lewis'],The Nobel Prize in Literature,1930
,1,['Lars Olof Jonathan (Nathan) Söderblom'],The Nobel Peace Prize,1930
“for his discovery of the wave nature of electrons”,1,['Prince Louis-Victor Pierre Raymond de Broglie'],The Nobel Prize in Physics,1929
“for their investigations on the fermentation of sugar and fermentative enzymes”,2,"['Arthur Harden', 'Hans Karl August Simon von Euler-Chelpin']",The Nobel Prize in Chemistry,1929
“for his discovery of the antineuritic vitamin”,2,"['Christiaan Eijkman', 'Sir Frederick Gowland Hopkins']",The Nobel Prize in Physiology or Medicine,1929
"“principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature”",1,['Thomas Mann'],The Nobel Prize in Literature,1929
,1,['Frank Billings Kellogg'],The Nobel Peace Prize,1929
“for his work on the thermionic phenomenon and especially for the discovery of the law named after him”,1,['Owen Willans Richardson'],The Nobel Prize in Physics,1928
“for the services rendered through his research into the constitution of the sterols and their connection with the vitamins”,1,['Adolf Otto Reinhold Windaus'],The Nobel Prize in Chemistry,1928
“for his work on typhus”,1,['Charles Jules Henri Nicolle'],The Nobel Prize in Physiology or Medicine,1928
“principally for her powerful descriptions of Northern life during the Middle Ages”,1,['Sigrid Undset'],The Nobel Prize in Literature,1928
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1928
“for his discovery of the effect named after him”,2,"['Arthur Holly Compton', 'Charles Thomson Rees Wilson']",The Nobel Prize in Physics,1927
“for his investigations of the constitution of the bile acids and related substances”,1,['Heinrich Otto Wieland'],The Nobel Prize in Chemistry,1927
“for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica”,1,['Julius Wagner-Jauregg'],The Nobel Prize in Physiology or Medicine,1927
“in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented”,1,['Henri Bergson'],The Nobel Prize in Literature,1927
,2,"['Ferdinand Buisson', 'Ludwig Quidde']",The Nobel Peace Prize,1927
"“for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium”",1,['Jean Baptiste Perrin'],The Nobel Prize in Physics,1926
“for his work on disperse systems”,1,['The (Theodor) Svedberg'],The Nobel Prize in Chemistry,1926
“for his discovery of the Spiroptera carcinoma”,1,['Johannes Andreas Grib Fibiger'],The Nobel Prize in Physiology or Medicine,1926
“for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general”,1,['Grazia Deledda'],The Nobel Prize in Literature,1926
,2,"['Aristide Briand', 'Gustav Stresemann']",The Nobel Peace Prize,1926
“for their discovery of the laws governing the impact of an electron upon an atom”,2,"['James Franck', 'Gustav Ludwig Hertz']",The Nobel Prize in Physics,1925
"“for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry”",1,['Richard Adolf Zsigmondy'],The Nobel Prize in Chemistry,1925
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1925
"“for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty”",1,['George Bernard Shaw'],The Nobel Prize in Literature,1925
,2,"['Sir Austen Chamberlain', 'Charles Gates Dawes']",The Nobel Peace Prize,1925
“for his discoveries and research in the field of X-ray spectroscopy”,1,['Karl Manne Georg Siegbahn'],The Nobel Prize in Physics,1924
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1924
“for his discovery of the mechanism of the electrocardiogram”,1,['Willem Einthoven'],The Nobel Prize in Physiology or Medicine,1924
"“for his great national epic, The Peasants”",1,['Wladyslaw Stanislaw Reymont'],The Nobel Prize in Literature,1924
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1924
“for his work on the elementary charge of electricity and on the photoelectric effect”,1,['Robert Andrews Millikan'],The Nobel Prize in Physics,1923
“for his invention of the method of micro-analysis of organic substances”,1,['Fritz Pregl'],The Nobel Prize in Chemistry,1923
“for the discovery of insulin”,2,"['Frederick Grant Banting', 'John James Rickard Macleod']",The Nobel Prize in Physiology or Medicine,1923
"“for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation”",1,['William Butler Yeats'],The Nobel Prize in Literature,1923
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1923
“for his services in the investigation of the structure of atoms and of the radiation emanating from them”,1,['Niels Henrik David Bohr'],The Nobel Prize in Physics,1922
"“for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule”",1,['Francis William Aston'],The Nobel Prize in Chemistry,1922
“for his discovery relating to the production of heat in the muscle”,2,"['Archibald Vivian Hill', 'Otto Fritz Meyerhof']",The Nobel Prize in Physiology or Medicine,1922
“for the happy manner in which he has continued the illustrious traditions of the Spanish drama”,1,['Jacinto Benavente'],The Nobel Prize in Literature,1922
,1,['Fridtjof Nansen'],The Nobel Peace Prize,1922
"“for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect”",1,['Albert Einstein'],The Nobel Prize in Physics,1921
"“for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes”",1,['Frederick Soddy'],The Nobel Prize in Chemistry,1921
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1921
"“in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament”",1,['Anatole France'],The Nobel Prize in Literature,1921
,2,"['Karl Hjalmar Branting', 'Christian Lous Lange']",The Nobel Peace Prize,1921
“in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys”,1,['Charles Edouard Guillaume'],The Nobel Prize in Physics,1920
“in recognition of his work in thermochemistry”,1,['Walther Hermann Nernst'],The Nobel Prize in Chemistry,1920
“for his discovery of the capillary motor regulating mechanism”,1,['Schack August Steenberg Krogh'],The Nobel Prize in Physiology or Medicine,1920
"“for his monumental work, Growth of the Soil”",1,['Knut Pedersen Hamsun'],The Nobel Prize in Literature,1920
,1,['Léon Victor Auguste Bourgeois'],The Nobel Peace Prize,1920
“for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields”,1,['Johannes Stark'],The Nobel Prize in Physics,1919
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1919
“for his discoveries relating to immunity”,1,['Jules Bordet'],The Nobel Prize in Physiology or Medicine,1919
"“in special appreciation of his epic, Olympian Spring”",1,['Carl Friedrich Georg Spitteler'],The Nobel Prize in Literature,1919
,1,['Thomas Woodrow Wilson'],The Nobel Peace Prize,1919
“in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta”,1,['Max Karl Ernst Ludwig Planck'],The Nobel Prize in Physics,1918
“for the synthesis of ammonia from its elements”,1,['Fritz Haber'],The Nobel Prize in Chemistry,1918
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1918
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1918
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1918
“for his discovery of the characteristic Röntgen radiation of the elements”,1,['Charles Glover Barkla'],The Nobel Prize in Physics,1917
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1917
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1917
"“for his varied and rich poetry, which is inspired by lofty ideals”",2,"['Karl Adolph Gjellerup', 'Henrik Pontoppidan']",The Nobel Prize in Literature,1917
,1,['Comité international de la Croix Rouge (International Committee of the Red Cross) '],The Nobel Peace Prize,1917
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physics,1916
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Chemistry,1916
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1916
“in recognition of his significance as the leading representative of a new era in our literature”,1,['Carl Gustaf Verner von Heidenstam'],The Nobel Prize in Literature,1916
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1916
“for their services in the analysis of crystal structure by means of X-rays”,2,"['Sir William Henry Bragg', 'William Lawrence Bragg']",The Nobel Prize in Physics,1915
"“for his researches on plant pigments, especially chlorophyll”",1,['Richard Martin Willstätter'],The Nobel Prize in Chemistry,1915
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Physiology or Medicine,1915
“as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings”,1,['Romain Rolland'],The Nobel Prize in Literature,1915
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1915
“for his discovery of the diffraction of X-rays by crystals”,1,['Max von Laue'],The Nobel Prize in Physics,1914
“in recognition of his accurate determinations of the atomic weight of a large number of chemical elements”,1,['Theodore William Richards'],The Nobel Prize in Chemistry,1914
“for his work on the physiology and pathology of the vestibular apparatus”,1,['Robert Bárány'],The Nobel Prize in Physiology or Medicine,1914
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Prize in Literature,1914
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1914
"“for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium”",1,['Heike Kamerlingh Onnes'],The Nobel Prize in Physics,1913
“in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry”,1,['Alfred Werner'],The Nobel Prize in Chemistry,1913
“in recognition of his work on anaphylaxis”,1,['Charles Robert Richet'],The Nobel Prize in Physiology or Medicine,1913
"“because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West”",1,['Rabindranath Tagore'],The Nobel Prize in Literature,1913
,1,['Henri La Fontaine'],The Nobel Peace Prize,1913
“for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys”,1,['Nils Gustaf Dalén'],The Nobel Prize in Physics,1912
"“for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry”",2,"['Victor Grignard', 'Paul Sabatier']",The Nobel Prize in Chemistry,1912
“in recognition of his work on vascular suture and the transplantation of blood vessels and organs”,1,['Alexis Carrel'],The Nobel Prize in Physiology or Medicine,1912
"“primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art”",1,['Gerhart Johann Robert Hauptmann'],The Nobel Prize in Literature,1912
,1,['Elihu Root'],The Nobel Peace Prize,1912
“for his discoveries regarding the laws governing the radiation of heat”,1,['Wilhelm Wien'],The Nobel Prize in Physics,1911
"“in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element”",1,"['Marie Curie, née Sklodowska']",The Nobel Prize in Chemistry,1911
“for his work on the dioptrics of the eye”,1,['Allvar Gullstrand'],The Nobel Prize in Physiology or Medicine,1911
"“in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers’ own feelings and stimulate their imaginations”",1,['Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck'],The Nobel Prize in Literature,1911
,2,"['Tobias Michael Carel Asser', 'Alfred Hermann Fried']",The Nobel Peace Prize,1911
“for his work on the equation of state for gases and liquids”,1,['Johannes Diderik van der Waals'],The Nobel Prize in Physics,1910
“in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds”,1,['Otto Wallach'],The Nobel Prize in Chemistry,1910
"“in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances”",1,['Albrecht Kossel'],The Nobel Prize in Physiology or Medicine,1910
